timestamp_ms,landmark,landmark_name,x,y,z,visibility,presence
599,0,NOSE,0.6004263758659363,0.7227120995521545,-1.1872414350509644,0.9905526638031006,0.9870844483375549
599,1,LEFT_EYE_INNER,0.6352942585945129,0.6613099575042725,-1.08139967918396,0.9869059920310974,0.9777526259422302
599,2,LEFT_EYE,0.6528722047805786,0.6654787063598633,-1.0819854736328125,0.9838913083076477,0.9743598699569702
599,3,LEFT_EYE_OUTER,0.6714525818824768,0.6690400838851929,-1.08213472366333,0.9844722151756287,0.9673709869384766
599,4,RIGHT_EYE_INNER,0.5669448375701904,0.649628758430481,-1.1040265560150146,0.9899469017982483,0.9861964583396912
599,5,RIGHT_EYE,0.5419995188713074,0.6471813917160034,-1.1038073301315308,0.990024209022522,0.9869588017463684
599,6,RIGHT_EYE_OUTER,0.5189491510391235,0.6457576751708984,-1.1046347618103027,0.9928634762763977,0.9872388243675232
599,7,LEFT_EAR,0.6911389827728271,0.710706353187561,-0.5062196850776672,0.9826038479804993,0.9633826017379761
599,8,RIGHT_EAR,0.4823435842990875,0.6838767528533936,-0.5916118621826172,0.9930766820907593,0.9892086386680603
599,9,MOUTH_LEFT,0.6309502124786377,0.8243544101715088,-0.9723207354545593,0.9812860488891602,0.9460198879241943
599,10,MOUTH_RIGHT,0.5492148995399475,0.8148435950279236,-0.9987514615058899,0.989713191986084,0.9716799259185791
599,11,LEFT_SHOULDER,0.7615219950675964,1.0709172487258911,-0.2247297316789627,0.8624968528747559,0.4079349637031555
599,12,RIGHT_SHOULDER,0.31210076808929443,1.0675276517868042,-0.3724817633628845,0.9594736695289612,0.7418041825294495
599,13,LEFT_ELBOW,0.9109824895858765,1.35245680809021,-0.6183315515518188,0.11805392801761627,0.012212744913995266
599,14,RIGHT_ELBOW,0.23728537559509277,1.5611485242843628,-0.5594360828399658,0.1961243748664856,0.014641947112977505
599,15,LEFT_WRIST,0.7423865795135498,1.2721233367919922,-1.1931179761886597,0.10166693478822708,0.024092791602015495
599,16,RIGHT_WRIST,0.2917747497558594,1.8103384971618652,-1.072715401649475,0.10904344916343689,0.007507916074246168
599,17,LEFT_PINKY,0.7236641645431519,1.2599378824234009,-1.3707159757614136,0.12660254538059235,0.04264737665653229
599,18,RIGHT_PINKY,0.28426414728164673,1.9050238132476807,-1.2574776411056519,0.14897194504737854,0.00981220230460167
599,19,LEFT_INDEX,0.6947615146636963,1.237051248550415,-1.345510482788086,0.15580804646015167,0.06884303689002991
599,20,RIGHT_INDEX,0.31027334928512573,1.8732683658599854,-1.3381261825561523,0.2096772938966751,0.017700430005788803
599,21,LEFT_THUMB,0.6885710954666138,1.2536327838897705,-1.2197914123535156,0.15107564628124237,0.053144436329603195
599,22,RIGHT_THUMB,0.32389408349990845,1.8418853282928467,-1.1302406787872314,0.19353319704532623,0.01367964968085289
599,23,LEFT_HIP,0.680759847164154,2.040095090866089,-0.04570138454437256,0.003114127553999424,0.0006228713318705559
599,24,RIGHT_HIP,0.3590037226676941,2.0200366973876953,0.051614053547382355,0.00294249365106225,0.0007211943157017231
599,25,LEFT_KNEE,0.6486326456069946,2.7868809700012207,-0.46261510252952576,0.0038413885049521923,0.00023973920906428248
599,26,RIGHT_KNEE,0.36968478560447693,2.729231595993042,-0.4875763952732086,0.002618085592985153,0.0002845654380507767
599,27,LEFT_ANKLE,0.6253566741943359,3.5330653190612793,-0.00656741252169013,9.824216249398887e-05,7.845610525691882e-06
599,28,RIGHT_ANKLE,0.3488238453865051,3.4894328117370605,-0.3029431104660034,8.048972813412547e-05,1.6517366020707414e-05
599,29,LEFT_HEEL,0.6171701550483704,3.6389949321746826,-0.0044626472517848015,9.020689321914688e-05,7.462016583303921e-06
599,30,RIGHT_HEEL,0.3384473919868469,3.6096031665802,-0.31010672450065613,0.00016664419672451913,1.592908301972784e-05
599,31,LEFT_FOOT_INDEX,0.583044707775116,3.7471766471862793,-0.7746894359588623,0.0003048628568649292,2.5289657060056925e-05
599,32,RIGHT_FOOT_INDEX,0.37545865774154663,3.684629201889038,-1.1161818504333496,0.0004756735870614648,4.0974602597998455e-05
695,0,NOSE,0.6005250215530396,0.7214921712875366,-1.2171895503997803,0.9909548163414001,0.9869306087493896
695,1,LEFT_EYE_INNER,0.6332922577857971,0.6583544015884399,-1.1254327297210693,0.9872657060623169,0.9834961891174316
695,2,LEFT_EYE,0.6513055562973022,0.6628761291503906,-1.1260199546813965,0.9847015738487244,0.9829288721084595
695,3,LEFT_EYE_OUTER,0.6696475148200989,0.667590856552124,-1.1265207529067993,0.9850867390632629,0.9809443950653076
695,4,RIGHT_EYE_INNER,0.568661630153656,0.6473963856697083,-1.1533048152923584,0.990023136138916,0.9848050475120544
695,5,RIGHT_EYE,0.544512152671814,0.6447098851203918,-1.152603030204773,0.9902925491333008,0.9838380813598633
695,6,RIGHT_EYE_OUTER,0.5225812196731567,0.6437297463417053,-1.1532529592514038,0.9928082823753357,0.9825913310050964
695,7,LEFT_EAR,0.6907718181610107,0.7072730660438538,-0.5636197924613953,0.9833089709281921,0.9805942177772522
695,8,RIGHT_EAR,0.48315125703811646,0.6824128031730652,-0.6717419028282166,0.9931563138961792,0.9821359515190125
695,9,MOUTH_LEFT,0.6297121047973633,0.813391923904419,-1.0037400722503662,0.9824720025062561,0.9748842716217041
695,10,MOUTH_RIGHT,0.5524811744689941,0.8016564249992371,-1.0355762243270874,0.9902439713478088,0.9771914482116699
695,11,LEFT_SHOULDER,0.7705230712890625,1.0309944152832031,-0.21418175101280212,0.8735637068748474,0.7886287569999695
695,12,RIGHT_SHOULDER,0.31286484003067017,1.0082356929779053,-0.4109950661659241,0.9613679647445679,0.8287456035614014
695,13,LEFT_ELBOW,0.8989576101303101,1.403875708580017,-0.1812339574098587,0.1092667505145073,0.0038062350358814
695,14,RIGHT_ELBOW,0.22621038556098938,1.4789319038391113,-0.4505949914455414,0.18979550898075104,0.0029396130703389645
695,15,LEFT_WRIST,0.8557066917419434,1.6992579698562622,-0.675621747970581,0.09273197501897812,0.0007309050997719169
695,16,RIGHT_WRIST,0.27806347608566284,1.7717392444610596,-1.0384819507598877,0.10105041414499283,0.0006832617218606174
695,17,LEFT_PINKY,0.8842353820800781,1.8100167512893677,-0.8159192800521851,0.11603442579507828,0.0011824871180579066
695,18,RIGHT_PINKY,0.2651461660861969,1.8771016597747803,-1.2248036861419678,0.13797591626644135,0.0009763388079591095
695,19,LEFT_INDEX,0.8418313264846802,1.798435926437378,-0.9194830060005188,0.14361672103405,0.002713500987738371
695,20,RIGHT_INDEX,0.3029947280883789,1.863584280014038,-1.3127145767211914,0.19516544044017792,0.0022009769454598427
695,21,LEFT_THUMB,0.8209904432296753,1.758486032485962,-0.7479740977287292,0.1392732560634613,0.001781610306352377
695,22,RIGHT_THUMB,0.3162122964859009,1.8242348432540894,-1.0976784229278564,0.18013368546962738,0.0015674789901822805
695,23,LEFT_HIP,0.695891261100769,1.9168152809143066,-0.027096593752503395,0.0028460712637752295,0.00010580068919807673
695,24,RIGHT_HIP,0.3706432282924652,1.908486008644104,0.032991550862789154,0.0026821766514331102,7.952931628096849e-05
695,25,LEFT_KNEE,0.6813971996307373,2.6776442527770996,-0.27529817819595337,0.0036017815582454205,2.4272680093417875e-05
695,26,RIGHT_KNEE,0.3792768120765686,2.6522140502929688,-0.29626762866973877,0.0024300890509039164,1.1440103662607726e-05
695,27,LEFT_ANKLE,0.6820429563522339,3.3887901306152344,0.2535633444786072,0.00010467747051734477,1.3577287063526455e-06
695,28,RIGHT_ANKLE,0.38944128155708313,3.3614773750305176,-0.03811624273657799,7.575177005492151e-05,1.5302036899811355e-06
695,29,LEFT_HEEL,0.6854573488235474,3.4995360374450684,0.2608257234096527,9.742261318024248e-05,1.3021311815464287e-06
695,30,RIGHT_HEEL,0.38342857360839844,3.470994472503662,-0.04341873154044151,0.00015923843602649868,1.8172046338804648e-06
695,31,LEFT_FOOT_INDEX,0.6334911584854126,3.5905539989471436,-0.5212087035179138,0.0002924470463767648,3.289680535090156e-06
695,32,RIGHT_FOOT_INDEX,0.43821635842323303,3.5596272945404053,-0.8736665844917297,0.0004436658346094191,3.837780241155997e-06
720,0,NOSE,0.6004892587661743,0.7212005257606506,-1.4101325273513794,0.9909986257553101,0.9761407375335693
720,1,LEFT_EYE_INNER,0.6329460144042969,0.6583479642868042,-1.329089641571045,0.9874288439750671,0.9626448750495911
720,2,LEFT_EYE,0.6511718034744263,0.6628243923187256,-1.3295691013336182,0.9849859476089478,0.9580469131469727
720,3,LEFT_EYE_OUTER,0.669421911239624,0.6673848628997803,-1.3297945261001587,0.9852496981620789,0.9510267972946167
720,4,RIGHT_EYE_INNER,0.5686705112457275,0.6477149724960327,-1.359098196029663,0.9901642203330994,0.9724699258804321
720,5,RIGHT_EYE,0.5445147752761841,0.6455490589141846,-1.3590352535247803,0.9904590845108032,0.9723089337348938
